Date, Close/Last, Volume, Open, High, Low
07/07/2020, $1657.45, 267109, $1681.36, $1697.33, $1654.6557
07/06/2020, $1703.76, 440880, $1706.19, $1738, $1680.17
07/02/2020, $1669.98, 360856, $1690.11, $1714.0887, $1658.4
07/01/2020, $1658.79, 538918, $1606.05, $1670, $1601.14
06/30/2020, $1592.34, 293677, $1583.9, $1603.24, $1566.42
06/29/2020, $1593.22, 366054, $1567.77, $1595.3, $1540.48
06/26/2020, $1541.25, 601775, $1597.3, $1611.71, $1532.83
06/25/2020, $1615.39, 498677, $1585.81, $1623.97, $1561.72
06/24/2020, $1610.33, 597335, $1660.71, $1669.7699, $1582
06/23/2020, $1677.1, 363292, $1652.3, $1678.5, $1640
06/22/2020, $1633.52, 333868, $1609.74, $1636.29, $1593.8667
06/19/2020, $1626.91, 754183, $1654, $1657.4903, $1600
06/18/2020, $1628.35, 546644, $1622.4, $1658, $1590.93
06/17/2020, $1638.24, 355080, $1677.92, $1678.575, $1626.01
06/16/2020, $1673.74, 454930, $1716.32, $1721.85, $1641.75
06/15/2020, $1650.67, 409832, $1567.66, $1664.925, $1555.01
06/12/2020, $1623.92, 489367, $1653.57, $1663.9948, $1572.84
06/11/2020, $1588.37, 920052, $1655.85, $1656.76, $1576.57
06/10/2020, $1733.31, 536431, $1791.95, $1793, $1717.72
06/09/2020, $1777.97, 450467, $1808.07, $1818.343, $1770
06/08/2020, $1840.91, 672069, $1846.6, $1871.97, $1825.565
