Date, Close/Last, Volume, Open, High, Low
07/08/2020, $25.39, 840911, $25.76, $25.76, $25.1
07/07/2020, $25.77, 1007555, $26.26, $26.3, $25.71
07/06/2020, $26.53, 905345, $26.94, $27.0731, $26.2
07/02/2020, $26.55, 1231477, $27.46, $27.65, $26.46
07/01/2020, $26.915, 1851948, $26.8, $27.36, $26.52
06/30/2020, $26.84, 1325594, $26.76, $26.9, $26.44
06/29/2020, $26.79, 1446020, $25.99, $26.84, $25.6
06/26/2020, $25.75, 2615718, $26.62, $26.62, $25.4
06/25/2020, $26.75, 1739657, $26.75, $26.82, $26.125
06/24/2020, $27.01, 1221045, $27.39, $27.59, $26.46
06/23/2020, $27.81, 1278909, $27.86, $28.36, $27.78
06/22/2020, $27.6, 1488117, $27.55, $27.77, $27.17
06/19/2020, $27.82, 2375043, $29.15, $29.49, $27.8
06/18/2020, $28.66, 1398942, $27.57, $28.69, $27.48
06/17/2020, $27.76, 1861154, $28, $28.1, $27.54
06/16/2020, $28.02, 1559377, $29.7, $30.02, $27.715
06/15/2020, $28.86, 1310565, $26.97, $29.36, $26.861
06/12/2020, $27.95, 1495456, $28.38, $28.62, $27.28
06/11/2020, $27.62, 1697531, $28.71, $28.78, $27.51
06/10/2020, $29.73, 1454389, $30.13, $30.25, $29.12
06/09/2020, $30.33, 1187420, $31.27, $31.36, $30.26
06/08/2020, $31.68, 2308833, $30.39, $32.05, $30.39
06/05/2020, $30.25, 1659266, $30.96, $31.51, $30.12
06/04/2020, $29.945, 1132039, $30.03, $30.43, $29.58
06/03/2020, $30.22, 1326854, $29.21, $30.59, $29.21
06/02/2020, $28.87, 827617, $29.18, $29.36, $28.58
06/01/2020, $29.14, 740725, $28.89, $29.41, $28.8
05/29/2020, $28.78, 1740199, $28.56, $28.93, $28.07
05/28/2020, $28.66, 937058, $29.42, $29.62, $28.53
05/27/2020, $29.3, 923832, $28.99, $29.73, $28.68
05/26/2020, $28.59, 855985, $28.4, $28.77, $28.08
05/22/2020, $27.37, 739026, $27.16, $27.48, $27.04
05/21/2020, $27.23, 666418, $27.07, $27.63, $27.07
05/20/2020, $27.37, 942036, $27.04, $27.76, $26.95
05/19/2020, $26.94, 741916, $26.72, $27.48, $26.46
05/18/2020, $26.855, 1144514, $26.66, $27.04, $26.215
05/15/2020, $25.5, 1056403, $24.97, $25.57, $24.69
05/14/2020, $25.12, 1753202, $23.67, $25.2, $23.36
05/13/2020, $24.06, 1172572, $24.72, $24.755, $23.38
05/12/2020, $24.89, 995168, $25.59, $25.76, $24.89
05/11/2020, $25.45, 845322, $25.81, $25.81, $24.78
05/08/2020, $25.73, 949514, $25.62, $25.95, $25.32
05/07/2020, $25.01, 1810949, $26.25, $26.73, $24.86
05/06/2020, $24.61, 1949814, $23.89, $24.72, $23.39
05/05/2020, $23.85, 1413195, $24.82, $25.01, $23.63
05/04/2020, $24.63, 1180126, $24.85, $24.96, $24.21
05/01/2020, $25.02, 803062, $25, $25.38, $24.67
04/30/2020, $25.56, 1787943, $27.4, $27.4, $25.175
04/29/2020, $27.95, 1215529, $27.73, $28.24, $27.69
04/28/2020, $26.97, 1157933, $26.65, $27.71, $26.5
04/27/2020, $26.01, 1128176, $24.83, $26.24, $24.78
04/24/2020, $24.52, 1422954, $24.48, $24.675, $24.13
04/23/2020, $24.45, 1511996, $24.63, $25.1, $23.91
04/22/2020, $24.59, 1501891, $25.68, $25.88, $24.53
04/21/2020, $25.05, 1442356, $24.91, $25.38, $24.78
04/20/2020, $25.69, 1896909, $25.46, $26.44, $25.46
04/17/2020, $26.23, 1085599, $25.75, $26.33, $25.52
04/16/2020, $25.13, 1872893, $25.16, $25.29, $24.42
04/15/2020, $25.17, 1167780, $25.15, $25.25, $24.55
04/14/2020, $26.01, 967093, $25.8, $26.18, $25.39
04/13/2020, $25.4, 1554546, $25.46, $25.51, $24.32
04/09/2020, $25.64, 1596297, $25.92, $26.56, $25.17
04/08/2020, $25.82, 1529145, $25.04, $26.03, $25
04/07/2020, $24.97, 1670459, $25.69, $26.44, $24.9
04/06/2020, $24.45, 1489755, $22.78, $24.62, $22.69
04/03/2020, $21.59, 1208699, $21.73, $21.97, $21.2
04/02/2020, $21.84, 2515529, $21.56, $22.71, $21.22
04/01/2020, $21.565, 1584697, $21.85, $22.1828, $21.26
03/31/2020, $22.88, 2087611, $23.95, $24.32, $22.76
03/30/2020, $23.77, 1574965, $22.11, $23.97, $21.52
03/27/2020, $22.04, 1979843, $23.71, $23.95, $21.95
03/26/2020, $24.6, 2435400, $23.46, $24.78, $23.46
03/25/2020, $23.34, 3077522, $21.65, $24.54, $21.26
03/24/2020, $21.65, 2434903, $20.82, $21.73, $20.17
03/23/2020, $19.81, 2577625, $20.13, $20.55, $19.13
03/20/2020, $20.05, 3236809, $22.3, $22.77, $19.92
03/19/2020, $21.94, 2025502, $21.43, $22.73, $20.1
03/18/2020, $21.41, 3549323, $22.54, $23.26, $20.64
03/17/2020, $23.79, 3156972, $23.5, $24.44, $22.17
03/16/2020, $23.19, 3320633, $23.3, $24.38, $22.68
03/13/2020, $25.38, 2710384, $26.4, $27.78, $24.2425
03/12/2020, $25.56, 3106716, $26.55, $26.66, $24.29
03/11/2020, $27.52, 3077697, $27.82, $28.28, $27.3
03/10/2020, $28.76, 3554906, $27.96, $28.98, $26.77
03/09/2020, $27.13, 4129752, $26.75, $27.63, $26.38
03/06/2020, $28.52, 2821346, $27.71, $28.79, $27.5502
03/05/2020, $29.12, 2206325, $29.83, $30.04, $28.91
03/04/2020, $30.67, 2778676, $31.04, $31.27, $30.13
03/03/2020, $30.71, 4065571, $31.19, $32.28, $30.34
03/02/2020, $31.79, 2871340, $30.48, $31.79, $30.07
02/28/2020, $30.45, 3917379, $30.2, $31.32, $29.86
02/27/2020, $30.99, 2763464, $31.99, $32.56, $30.99
02/26/2020, $32.4, 2761161, $33.36, $33.41, $32.08
02/25/2020, $32.83, 1922764, $34.41, $34.55, $32.645
02/24/2020, $34.27, 1503855, $35.27, $35.44, $34.09
02/21/2020, $35.5, 1593492, $36.29, $36.84, $35.48
02/20/2020, $36.54, 1605168, $37.18, $37.34, $35.9
02/19/2020, $37.53, 674170, $37.24, $37.72, $37.1
02/18/2020, $37.22, 965582, $37.26, $37.405, $36.94
02/14/2020, $37.31, 750538, $37.53, $37.59, $37
02/13/2020, $37.52, 1059421, $36.95, $37.74, $36.95
02/12/2020, $37.16, 907738, $36.77, $37.22, $36.72
02/11/2020, $36.61, 926893, $36.85, $36.85, $36.18
02/10/2020, $36.78, 1441973, $36.22, $36.845, $36.1
02/07/2020, $36.37, 1047945, $36.45, $36.46, $35.89
02/06/2020, $36.5, 2530226, $38.26, $38.44, $36.18
02/05/2020, $37.93, 1984727, $37.81, $38.21, $37.45
02/04/2020, $37.4, 1072480, $37.27, $37.57, $36.99
02/03/2020, $36.83, 1084722, $36.5, $37.25, $36.41
01/31/2020, $36.33, 1604331, $36.35, $36.57, $35.8485
01/30/2020, $36.46, 978498, $35.6, $36.48, $35.53
01/29/2020, $35.99, 876059, $36.38, $36.63, $35.875
01/28/2020, $36.62, 1353070, $36.5, $36.82, $36.17
01/27/2020, $36.37, 1838808, $35.81, $36.42, $35.66
01/24/2020, $36.04, 2762270, $36.94, $36.94, $35.64
01/23/2020, $36.9, 2407370, $38.11, $38.13, $36.7
01/22/2020, $38.4, 1321156, $38.41, $38.6, $38.13
01/21/2020, $38.41, 1416728, $38.4, $38.54, $38.09
01/17/2020, $38.575, 1662667, $38.31, $38.84, $38.31
