Date, Close/Last, Volume, Open, High, Low
07/08/2020, $103.98, 4740439, $104.96, $105.395, $102.53
07/07/2020, $104.99, 2321257, $107.29, $107.87, $104.8
07/06/2020, $107.75, 1539161, $106.74, $108.87, $106.01
07/02/2020, $104.61, 2124822, $105.4, $106.28, $103.94
07/01/2020, $103.12, 1562116, $105.13, $105.48, $103.11
06/30/2020, $105.31, 2875808, $102.86, $105.76, $102.24
06/29/2020, $102.57, 1968576, $100.84, $103.24, $99.41
06/26/2020, $100.05, 4458740, $101.7, $101.94, $99.5
06/25/2020, $101.98, 1675933, $99.97, $102.19, $99
06/24/2020, $101.08, 2892489, $103.05, $104.08, $100.55
06/23/2020, $104.08, 1144412, $105.02, $105.56, $103.99
06/22/2020, $103.71, 1430901, $103.76, $104.3, $102.04
06/19/2020, $103.45, 4607093, $106.89, $107.58, $103.37
06/18/2020, $104.29, 1700714, $103.89, $104.85, $103.19
06/17/2020, $104.59, 2399705, $104.83, $105.91, $103.85
06/16/2020, $103.78, 2852872, $104.98, $105.97, $102
06/15/2020, $101.25, 2605639, $96.62, $101.34, $96.51
06/12/2020, $99.63, 1937283, $101.46, $102.59, $96.86
06/11/2020, $97.45, 3765483, $101.5, $101.97, $97.165
06/10/2020, $104.35, 2902272, $106.5, $106.51, $103.66
06/09/2020, $105.73, 4604305, $106.96, $108.49, $105.29
06/08/2020, $108.47, 3454816, $111.07, $111.62, $106.46
06/05/2020, $110, 3942626, $109.16, $113.28, $109.16
06/04/2020, $106.85, 3897068, $108.09, $108.76, $105.74
06/03/2020, $108.79, 8725549, $103.05, $109.79, $102.8
06/02/2020, $96.84, 3507140, $96.25, $98.2, $95.93
06/01/2020, $95.74, 2455574, $94.98, $96.64, $94.05
05/29/2020, $96.02, 7180825, $95.65, $97.87, $95.125
05/28/2020, $95.43, 6114655, $96.54, $98.72, $95.01
05/27/2020, $96.75, 10372990, $95.37, $99.24, $95.07
05/26/2020, $93.85, 5158350, $91.46, $95.165, $91
05/22/2020, $87.81, 1815597, $86.92, $88.18, $86.4349
05/21/2020, $87.63, 2344336, $90.47, $91.48, $87.471
05/20/2020, $91.3, 4066131, $89.54, $92.1, $89.02
05/19/2020, $88.14, 2013280, $88.46, $90.52, $88.09
05/18/2020, $89.02, 2271959, $85.81, $89.51, $85.56
05/15/2020, $83.55, 2539640, $82.62, $83.99, $82.13
05/14/2020, $85.8, 2341674, $82.7868, $85.94, $81.0949
05/13/2020, $83.95, 2234498, $87.11, $87.35, $82.56
05/12/2020, $85.99, 1879732, $88.09, $89.91, $85.99
05/11/2020, $88.3, 1941228, $88, $89.64, $87.13
05/08/2020, $89.7, 3384974, $84.84, $89.83, $83.5
05/07/2020, $85.5, 2967269, $85.46, $87.08, $84.56
05/06/2020, $83.76, 1465038, $85, $85.538, $83.345
05/05/2020, $83.47, 2187964, $83.65, $86.57, $82.97
05/04/2020, $82.02, 2291100, $81.71, $82.15, $80.12
05/01/2020, $81.52, 3253969, $85.47, $85.62, $81.36
04/30/2020, $87.73, 2950435, $91.48, $91.6, $87.08
