Date, Close/Last, Volume, Open, High, Low
07/07/2020, $444.29, 937261, $439.39, $449.69, $437.59
07/06/2020, $440.04, 1037050, $440.65, $449.22, $436.16
07/02/2020, $430.91, 861937, $436.8, $437.69, $429.46
07/01/2020, $427.74, 703627, $428.02, $431.77, $425.01
06/30/2020, $429.38, 612431, $434.42, $437.78, $426.77
06/29/2020, $432.64, 601667, $435.07, $435.07, $426.37
06/26/2020, $438.05, 595155, $436.43, $441.8, $433.15
06/25/2020, $436.06, 631308, $432.03, $438.6, $428.485
06/24/2020, $437.46, 993691, $437, $441.87, $423.5396
06/23/2020, $435.07, 1445246, $425, $437.86, $423.22
06/22/2020, $418.2, 578033, $416.5, $418.21, $410.06
06/19/2020, $413.21, 944203, $415.99, $418.84, $408.2698
06/18/2020, $409.3, 545607, $409.55, $414.86, $406.88
06/17/2020, $407.37, 1035085, $415.9, $417.08, $406.15
06/16/2020, $412.66, 980235, $424.31, $424.31, $409.7
06/15/2020, $413.2, 987411, $404.98, $415.62, $401.78
06/12/2020, $409.48, 1409106, $415.55, $418.65, $403.835
06/11/2020, $411.44, 3017321, $411.18, $415.755, $403.4
06/10/2020, $424.98, 1668019, $413.68, $426.88, $404.5
06/09/2020, $409.54, 813974, $408, $414.28, $403.23
06/08/2020, $409.13, 1356400, $425, $425.9746, $404.08
06/05/2020, $425.37, 1536403, $414.89, $427.33, $410.18
06/04/2020, $405.01, 1555888, $415.22, $424.01, $401.26
06/03/2020, $414.58, 1395350, $420.195, $425, $412.07
06/02/2020, $408.65, 1530655, $398.9, $416.46, $392.01
06/01/2020, $397.59, 1236977, $389.86, $397.83, $371.43
05/29/2020, $382.9, 1108755, $368.48, $383.75, $361.01
05/28/2020, $366.25, 844560, $375, $375.88, $365.6
05/27/2020, $377.1, 841184, $386.13, $387.58, $375
05/26/2020, $386.34, 899963, $382.1, $395.4, $381.24
05/22/2020, $372.25, 1247202, $384.39, $385.25, $365.4
05/21/2020, $401.76, 824086, $388.6, $402.065, $387.88
05/20/2020, $390.31, 1526715, $389, $399.49, $381.87
05/19/2020, $395.69, 1283200, $385.01, $399.83, $380.845
05/18/2020, $381.88, 690804, $385, $385.99, $373.69
05/15/2020, $374.41, 557274, $368.92, $374.87, $368.2
05/14/2020, $372.03, 613794, $358.86, $372.55, $358.86
05/13/2020, $370.97, 937719, $364.9, $375.98, $363.5291
05/12/2020, $360.65, 510090, $359.38, $367.14, $358.2206
05/11/2020, $356.11, 502902, $360.25, $365.085, $355.26
05/08/2020, $359.77, 444877, $353.92, $361.51, $353.86
05/07/2020, $347.32, 423772, $344.84, $349.25, $342.92
05/06/2020, $342, 363953, $341.02, $349.3612, $340.2
05/05/2020, $339.23, 645028, $341.79, $347.55, $337.43
05/04/2020, $329.58, 556631, $330.75, $334.33, $327.02
05/01/2020, $325.34, 698256, $338.685, $340.62, $324.42
04/30/2020, $344.96, 739970, $349.6, $353.9, $339.89
04/29/2020, $353.38, 547276, $352.35, $358.7485, $347.54
04/28/2020, $353.37, 753506, $360.8, $363.95, $350.79
04/27/2020, $359.24, 531025, $356.4, $362.8, $352.37
04/24/2020, $348.95, 383525, $347.53, $349.32, $339.93
04/23/2020, $342.86, 574250, $350.99, $350.99, $339.6
04/22/2020, $348.67, 487283, $351.18, $351.62, $345.17
04/21/2020, $344.4, 534189, $345.38, $351.38, $337.07
04/20/2020, $348.83, 552560, $346.06, $353.81, $345.3973
04/17/2020, $348.64, 787795, $365, $367.52, $342.83
04/16/2020, $362.21, 871519, $351.1, $363.4721, $350.12
04/15/2020, $349.82, 361258, $338.2, $350.77, $338.2
